distance_m,sample_index,timestamp_ms,rssi_raw_dbm,rssi_filt_dbm,dist_est_m
9.0,36,2428568,-87,-90.8,34.8
9.0,37,2429568,-90,-90.7,34.3
9.0,38,2430568,-88,-90.3,32.7
9.0,39,2431568,-83,-89.2,28.8
9.0,40,2432568,-83,-88.3,25.9
9.0,41,2433568,-86,-87.9,24.9
9.0,42,2434568,-85,-87.5,23.7
9.0,43,2435568,-96,-88.8,27.4
9.0,44,2436568,-82,-87.8,24.4
9.0,45,2437568,-82,-86.9,22.1
9.0,46,2438568,-94,-88.0,25.0
9.0,47,2439568,-90,-88.3,25.9
9.0,48,2440568,-95,-89.3,29.1
9.0,49,2441568,-87,-88.9,28.0
9.0,50,2442568,-82,-87.9,24.8
10.5,1,2513588,-94,-91.8,39.0
10.5,2,2514588,-84,-90.6,34.1
10.5,3,2515588,-94,-91.1,36.1
10.5,4,2516588,-88,-90.7,34.2
10.5,5,2517588,-91,-90.7,34.4
10.5,6,2518588,-89,-90.5,33.4
10.5,7,2519588,-84,-89.5,29.8
10.5,8,2520588,-92,-89.9,31.2
10.5,9,2521588,-88,-89.6,30.2
10.5,10,2522588,-90,-89.7,30.4
10.5,11,2523588,-85,-89.0,28.0
10.5,12,2524588,-85,-88.4,26.2
10.5,13,2525588,-85,-87.9,24.7
10.5,14,2526588,-94,-88.8,27.5
10.5,15,2527588,-89,-88.8,27.6
10.5,16,2528588,-83,-87.9,24.9
10.5,17,2529588,-92,-88.5,26.8
10.5,18,2530588,-90,-88.8,27.4
10.5,19,2531588,-90,-89.0,28.0
10.5,20,2532588,-89,-89.0,28.1
10.5,21,2533588,-94,-89.7,30.6
10.5,22,2534588,-86,-89.2,28.7
10.5,23,2535588,-86,-88.7,27.2
10.5,24,2536588,-86,-88.3,25.9
10.5,25,2537588,-87,-88.1,25.4
10.5,26,2538588,-93,-88.8,27.6
10.5,27,2539588,-92,-89.3,29.2
10.5,28,2540588,-90,-89.4,29.5
10.5,29,2541588,-90,-89.5,29.8
